Type,Filename,Voltage (V),Frequency (MHz),Cycles (M),Avg Current (A),Avg Power (mW),Time (s),Energy (mJ)
High Efficiency (best),test_1_0.85v_900MHz.csv,0.85,900.0,10078.703016,0.15001135555555553,127.50965222222219,11.198558906666667,1427.9243515791356
High Performance (best),test_1_0.85v_900MHz.csv,0.85,900.0,10078.703016,0.15001135555555553,127.50965222222219,11.198558906666667,1427.9243515791356
