Type,Filename,Voltage (V),Frequency (MHz),Cycles (M),Avg Current (A),Avg Power (mW),Time (s),Energy (mJ)
High Efficiency (context),test_1_0.55v_100MHz.csv,0.55,100.0,2564.822496,0.016704456140350876,9.187450877192983,25.64822496,235.64180690719496
High Efficiency (best),test_1_0.55v_150MHz.csv,0.55,150.0,2564.831861,0.021859605263157895,12.022782894736842,17.098879073333332,205.57611084204575
High Performance (context),test_1_0.85v_700MHz.csv,0.85,700.0,2564.934433,0.12805464285714285,108.84644642857143,3.664192047142857,398.8342833633325
High Performance (best),test_1_0.85v_750MHz.csv,0.85,750.0,2564.943705,0.1366015,116.11127499999999,3.41992494,397.0918451876985
