Type,Filename,Voltage (V),Frequency (MHz),Cycles (M),Avg Current (A),Avg Power (mW),Time (s),Energy (mJ)
High Efficiency (best),test_1_0.85v_500MHz.csv,0.85,500.0,6658.170692,0.08774243396226415,74.58106886792453,13.316341384,993.1469738288972
High Performance (best),test_1_0.85v_500MHz.csv,0.85,500.0,6658.170692,0.08774243396226415,74.58106886792453,13.316341384,993.1469738288972
