Type,Filename,Voltage (V),Frequency (MHz),Cycles (M),Avg Current (A),Avg Power (mW),Time (s),Energy (mJ)
High Efficiency (best),test_1_1.10v_1100MHz.csv,1.1,1100.0,4255.248258,0.26501837500000003,291.52021250000007,3.8684075072727273,1127.718978556741
High Performance (best),test_1_1.10v_1100MHz.csv,1.1,1100.0,4255.248258,0.26501837500000003,291.52021250000007,3.8684075072727273,1127.718978556741
