Type,Filename,Voltage (V),Frequency (MHz),Cycles (M),Avg Current (A),Avg Power (mW),Time (s),Energy (mJ)
High Efficiency (context),test_1_0.55v_100MHz.csv,0.55,100.0,3239.179564,0.016303402777777778,8.96687152777778,32.39179564,290.4530700579124
High Efficiency (best),test_1_0.55v_150MHz.csv,0.55,150.0,3664.777343,0.02111835185185185,11.615093518518519,24.431848953333333,283.77821042328543
High Performance (context),test_1_1.05v_1050MHz.csv,1.05,1050.0,11367.891725,0.22719846511627909,238.55838837209305,10.826563547619047,2582.7675515280503
High Performance (best),test_1_1.05v_1100MHz.csv,1.05,1100.0,11795.202519,0.23741181395348837,249.2824046511628,10.72291138090909,2673.033133894339
