Type,Filename,Voltage (V),Frequency (MHz),Cycles (M),Avg Current (A),Avg Power (mW),Time (s),Energy (mJ)
High Efficiency (context),test_1_0.55v_100MHz.csv,0.55,100.0,0.606858,0.018560609756097562,10.20833536585366,0.00606858,0.0619500998345122
High Efficiency (best),test_1_0.55v_150MHz.csv,0.55,150.0,0.606857,0.02459451851851852,13.526985185185186,0.004045713333333333,0.05472630432350618
High Performance (context),test_1_1.10v_1100MHz.csv,1.1,1100.0,0.606833,0.31199885714285713,343.19874285714286,0.0005516663636363637,0.18933120247657145
High Performance (best),test_1_1.10v_1150MHz.csv,1.1,1150.0,0.606857,0.32594885714285715,358.5437428571429,0.0005277017391304348,0.18920415666004972
High Performance (context),test_1_1.10v_1200MHz.csv,1.1,1200.0,0.682587,0.3379738333333333,371.7712166666667,0.0005688225,0.211471832892375
